id,outcome,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49,step_50,step_51,step_52,step_53,step_54,step_55,step_56,step_57,step_58,step_59,step_60,step_61,step_62,step_63,step_64,step_65,step_66,step_67,step_68,step_69,step_70,step_71,step_72,step_73,step_74,step_75,step_76,step_77,step_78,step_79,step_80
pi-00000,partial,bash,write,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00001,partial,bash,write,write,write,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00002,partial,bash,bash,bash,bash,write,write,write,write,write,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00003,partial,bash,bash,bash,read,bash,write,write,write,write,edit,read,read,edit,edit,bash,bash,bash,read,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00004,partial,bash,write,write,write,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00005,partial,bash,write,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00006,partial,read,read,read,bash,bash,bash,write,write,write,write,bash,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00007,partial,bash,bash,write,write,write,bash,read,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00008,partial,bash,bash,bash,bash,bash,bash,read,write,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00009,partial,bash,bash,bash,bash,bash,bash,bash,bash,write,edit,bash,write,bash,edit,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00010,partial,write,write,write,write,edit,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00011,partial,bash,write,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00012,partial,bash,read,bash,write,write,write,write,write,write,write,write,write,write,write,bash,bash,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00013,partial,bash,bash,write,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00014,partial,bash,write,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00015,partial,bash,bash,write,write,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00016,partial,bash,write,write,write,bash,edit,read,bash,bash,bash,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00017,partial,write,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00018,fail,bash,bash,bash,write,write,bash,write,write,write,write,write,bash,bash,bash,write,bash,read,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00019,partial,bash,bash,bash,bash,write,write,write,write,write,write,write,bash,write,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00020,partial,bash,write,write,write,bash,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00021,partial,bash,bash,bash,write,bash,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
pi-00022,partial,write,write,write,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none)
