sid,t,z_local
0,0.0,0.0
0,1.1111111111111112,0.008961922010299564
0,2.2222222222222223,0.00795220057023049
0,3.333333333333333,-0.0019056796287548494
0,4.444444444444445,-0.009643171169287782
0,5.555555555555555,-0.006651015149788224
0,6.666666666666666,0.0037415123057121915
0,7.777777777777778,0.009970978909438748
0,8.88888888888889,0.00510605678474283
0,10.0,-0.005440211108893698
1,0.0,0.008414709848078966
1,1.1111111111111112,0.008575467969251046
1,2.2222222222222223,-0.0008054223317739648
1,3.333333333333333,-0.00929014501270762
1,4.444444444444445,-0.0074380210258756145
1,5.555555555555555,0.0026901506169320927
1,6.666666666666666,0.009825077869863731
1,7.777777777777778,0.006027955805941995
1,8.88888888888889,-0.0044762795270254585
1,10.0,-0.009999902065507035
2,0.0,0.009092974268256818
2,1.1111111111111112,0.00030476822506986413
2,2.2222222222222223,-0.008822543656340826
2,3.333333333333333,-0.0081332939156758
2,4.444444444444445,0.001605611346535182
2,5.555555555555555,0.009558004312710242
2,6.666666666666666,0.006875512151130617
2,7.777777777777778,-0.0034571420661953485
2,8.88888888888889,-0.009943145085067231
2,10.0,-0.00536572918000435
3,0.0,0.001411200080598672
3,1.1111111111111112,-0.00824613401972987
3,2.2222222222222223,-0.008728259030512588
3,3.333333333333333,0.0005012700988217272
3,4.444444444444445,0.009173052051597628
3,5.555555555555555,0.007638272922377842
3,6.666666666666666,-0.002395367731303159
3,7.777777777777778,-0.009763759466100178
3,8.88888888888889,-0.006268328907061113
3,10.0,0.004201670368266409
4,0.0,-0.007568024953079283
4,1.1111111111111112,-0.009215578675785388
4,2.2222222222222223,-0.0006092533044599045
4,3.333333333333333,0.008674968696188059
4,4.444444444444445,0.008306831004118156
4,5.555555555555555,-0.001304051367088397
4,6.666666666666666,-0.00946395756838108
4,7.777777777777778,-0.0070936214407562575
4,8.88888888888889,0.0031695599602171616
4,10.0,0.009906073556948704
